MainTab,SubTab,Branch,TalentName,LogicalTalentID,LogicalTalentName,LogicalRank,LogicalGroupingEvidence,NodeID,Rank,MaxRank,Cost,PointCurrency,RawLevelUpCostValue,CostConfidence,RequiredLevel,ParentNodeID,RelationScope,ProgressionDepth,VisualRow,VisualColumn,NodeOffset,EffectType,RawValue,DisplayedValue,MarginalGain,CumulativeGain,Unit,BuffID,AbilityID,Confidence
SJWSkillTree,Duelliste,Frappe enragée,Contre-offensive II,node:113301,Contre-offensive II,1,RAW_NODE_ONLY,113301,1,1,4 SkillPoint,SkillPoint,[4],CONFIRMÉ PAR LES GAMEDATA,,113201,NODE,2,3,2,"[0,0,0]",TriggeredBuff,[90000049],[90000049],NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,90000036,,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Duelliste,Frappe enragée,Percussion,node:113302,Percussion,1,RAW_NODE_ONLY,113302,1,1,2 SkillPoint,SkillPoint,[2],CONFIRMÉ PAR LES GAMEDATA,,"113201,113202",NODE,2,3,3,"[0,0,0]",ActiveSkillReference,1001103200000,1001103200000,NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,,1001103200000,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Duelliste,Frappe enragée,Déséquilibre augmenté,node:113303,Déséquilibre augmenté,1,RAW_NODE_ONLY,113303,1,1,4 SkillPoint,SkillPoint,[4],CONFIRMÉ PAR LES GAMEDATA,,113202,NODE,2,3,4,"[0,0,0]",BreakModifier,320,320,NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,90000030,,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Duelliste,Frappe enragée,Défense augmentée,node:113401,Défense augmentée,1,RAW_NODE_ONLY,113401,1,1,3 SkillPoint,SkillPoint,[3],CONFIRMÉ PAR LES GAMEDATA,,113302,NODE,3,4,3,"[0,0,0]",ArmFR,640,6.4%,6.4%,6.4%,%,90000031,,FORTEMENT PROBABLE
SJWSkillTree,Duelliste,Frappe enragée,Amélioration de contre-attaque,node:113402,Amélioration de contre-attaque,1,RAW_NODE_ONLY,113402,1,1,5 SkillPoint,SkillPoint,[5],CONFIRMÉ PAR LES GAMEDATA,,"113302,113303",NODE,3,4,4,"[0,0,0]",TriggeredBuff,"[93200001,93200002]","[93200001,93200002]",NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,94200001,,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Duelliste,Frappe enragée,Contre-offensive III,node:113501,Contre-offensive III,1,RAW_NODE_ONLY,113501,1,1,4 SkillPoint,SkillPoint,[4],CONFIRMÉ PAR LES GAMEDATA,,"113301,113401",NODE,4,5,2,"[0,0,0]",TriggeredBuff,"[93200004,93200006]","[93200004,93200006]",NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,94200002,,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Duelliste,Frappe enragée,Déchaînement,node:113601,Déchaînement,1,RAW_NODE_ONLY,113601,1,1,2 SkillPoint,SkillPoint,[2],CONFIRMÉ PAR LES GAMEDATA,,"113401,113501",NODE,5,6,3,"[0,0,0]",ActiveSkillReference,1001103400000,1001103400000,NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,,1001103400000,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Duelliste,Frappe enragée,Champion de la contre-offensive,node:113701,Champion de la contre-offensive,1,RAW_NODE_ONLY,113701,1,1,4 SkillPoint,SkillPoint,[4],CONFIRMÉ PAR LES GAMEDATA,,113501,NODE,5,7,2,"[0,0,0]",TriggeredBuff,"[91000061,91000063,91000170,91000065]","[91000061,91000063,91000170,91000065]",NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,91000060,,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Duelliste,Coup unique,Bris d'armure,node:114101,Bris d'armure,1,RAW_NODE_ONLY,114101,1,1,2 SkillPoint,SkillPoint,[2],CONFIRMÉ PAR LES GAMEDATA,,,NODE,0,1,3,"[0,0,0]",ActiveSkillReference,1001302000000,1001302000000,NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,,1001302000000,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Duelliste,Coup unique,Combo I,node:114201,Combo I,1,RAW_NODE_ONLY,114201,1,1,4 SkillPoint,SkillPoint,[4],CONFIRMÉ PAR LES GAMEDATA,,114101,NODE,1,2,2,"[0,0,0]",TriggeredBuff,[93200009],[93200009],NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,94200003,,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Duelliste,Coup unique,Smash I,node:114202,Smash I,1,RAW_NODE_ONLY,114202,1,1,4 SkillPoint,SkillPoint,[4],CONFIRMÉ PAR LES GAMEDATA,,114101,NODE,1,2,4,"[0,0,0]",TriggeredBuff,[90000054],[90000054],NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,90000043,,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Duelliste,Coup unique,Annihilation,node:114301,Annihilation,1,RAW_NODE_ONLY,114301,1,1,2 SkillPoint,SkillPoint,[2],CONFIRMÉ PAR LES GAMEDATA,,"114201,114202",NODE,2,3,3,"[0,0,0]",ActiveSkillReference,1001302200000,1001302200000,NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,,1001302200000,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Duelliste,Coup unique,Déséquilibre augmenté\n[Effet passif spécial],node:114401,Déséquilibre augmenté\n[Effet passif spécial],1,RAW_NODE_ONLY,114401,1,1,5 SkillPoint,SkillPoint,[5],CONFIRMÉ PAR LES GAMEDATA,,114301,NODE,3,4,3,"[0,0,0]",BreakModifier,160,160,NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,90000044,,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Duelliste,Coup unique,Augmentation des PV,node:114501,Augmentation des PV,1,RAW_NODE_ONLY,114501,1,1,3 SkillPoint,SkillPoint,[3],CONFIRMÉ PAR LES GAMEDATA,,114401,NODE,4,5,2,"[0,0,0]",IncreaseMHP,640,6.4%,6.4%,6.4%,%,90000039,,FORTEMENT PROBABLE
SJWSkillTree,Duelliste,Coup unique,Fougue,node:114502,Fougue,1,RAW_NODE_ONLY,114502,1,1,3 SkillPoint,SkillPoint,[3],CONFIRMÉ PAR LES GAMEDATA,,114401,NODE,4,5,4,"[0,0,0]",TriggeredBuff,"[93200013,93200014]","[93200013,93200014]",NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,94200004,,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Duelliste,Coup unique,Combo II,node:114601,Combo II,1,RAW_NODE_ONLY,114601,1,1,4 SkillPoint,SkillPoint,[4],CONFIRMÉ PAR LES GAMEDATA,,114501,NODE,5,6,2,"[0,0,0]",TriggeredBuff,"[93200016,93200017]","[93200016,93200017]",NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,94200005,,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Duelliste,Coup unique,Smash II,node:114602,Smash II,1,RAW_NODE_ONLY,114602,1,1,4 SkillPoint,SkillPoint,[4],CONFIRMÉ PAR LES GAMEDATA,,114502,NODE,5,6,4,"[0,0,0]",TriggeredBuff,[90000055],[90000055],NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,90000045,,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Duelliste,Coup unique,Force amplifiée,node:114701,Force amplifiée,1,RAW_NODE_ONLY,114701,1,1,4 SkillPoint,SkillPoint,[4],CONFIRMÉ PAR LES GAMEDATA,,"114601,114602",NODE,6,7,3,"[0,0,0]",TriggeredBuff,"[91000072,91000072,91000077,91000078,91000079,91000080,91000081,91000082,91000083,91000084,91000085]","[91000072,91000072,91000077,91000078,91000079,91000080,91000081,91000082,91000083,91000084,91000085]",NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,91000071,,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Magicien élémentaire,Glace,Tempête glacée,node:115101,Tempête glacée,1,RAW_NODE_ONLY,115101,1,1,2 SkillPoint,SkillPoint,[2],CONFIRMÉ PAR LES GAMEDATA,,,NODE,0,1,3,"[0,0,0]",ActiveSkillReference,1001201100000,1001201100000,NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,,1001201100000,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Magicien élémentaire,Nœud de classe / Overdrive,Overdrive,node:115100,Overdrive,1,RAW_NODE_ONLY,115100,1,1,1 IdentityPoint,IdentityPoint,[1],CONFIRMÉ PAR LES GAMEDATA,MainQuestChapter:10301,,NODE,0,1,4,"[300,-200,0]",PassiveNoNumericEffect,,,NON DÉTERMINÉ,NON DÉTERMINÉ,,92000011,,NON DÉTERMINÉ
SJWSkillTree,Magicien élémentaire,Glace,Augmentation des dégâts de chaîne,node:115201,Augmentation des dégâts de chaîne,1,RAW_NODE_ONLY,115201,1,1,4 SkillPoint,SkillPoint,[4],CONFIRMÉ PAR LES GAMEDATA,,115101,NODE,1,2,3,"[0,0,0]",ElementCumulativeDam,1,1,NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,90000063,,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Magicien élémentaire,Glace,Augmentation des dégâts de chaîne,node:115201,Augmentation des dégâts de chaîne,1,RAW_NODE_ONLY,115201,1,1,4 SkillPoint,SkillPoint,[4],CONFIRMÉ PAR LES GAMEDATA,,115101,NODE,1,2,3,"[0,0,0]",ElementCumulativeDam,1,1,NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,90000063,,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Magicien élémentaire,Glace,Iceberg,node:115301,Iceberg,1,RAW_NODE_ONLY,115301,1,1,2 SkillPoint,SkillPoint,[2],CONFIRMÉ PAR LES GAMEDATA,,115201,NODE,2,3,3,"[0,0,0]",ActiveSkillReference,1001315400000,1001315400000,NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,,1001315400000,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Magicien élémentaire,Glace,Amélioration de Magicien élémentaire : Gel I,node:115401,Amélioration de Magicien élémentaire : Gel I,1,RAW_NODE_ONLY,115401,1,1,4 SkillPoint,SkillPoint,[4],CONFIRMÉ PAR LES GAMEDATA,,115301,NODE,3,4,2,"[0,0,0]",TriggeredBuff,"[93300001,93300002,93300003,93300005]","[93300001,93300002,93300003,93300005]",NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,94300001,,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Magicien élémentaire,Glace,Augmentation de la Pénétration de défense,node:115402,Augmentation de la Pénétration de défense,1,RAW_NODE_ONLY,115402,1,1,3 SkillPoint,SkillPoint,[3],CONFIRMÉ PAR LES GAMEDATA,,115301,NODE,3,4,4,"[0,0,0]",ArmPen,80,80,NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,90000062,,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Magicien élémentaire,Glace,Lame de glace,node:115501,Lame de glace,1,RAW_NODE_ONLY,115501,1,1,4 SkillPoint,SkillPoint,[4],CONFIRMÉ PAR LES GAMEDATA,,115301,NODE,3,5,3,"[0,0,0]",TriggeredBuff,[90000083],[90000083],NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,90000070,,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Magicien élémentaire,Glace,Amélioration de Magicien élémentaire : Gel II,node:115601,Amélioration de Magicien élémentaire : Gel II,1,RAW_NODE_ONLY,115601,1,1,4 SkillPoint,SkillPoint,[4],CONFIRMÉ PAR LES GAMEDATA,,115401,NODE,4,6,2,"[0,0,0]",TriggeredBuff,[90000080],[90000080],NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,90000065,,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Magicien élémentaire,Glace,Infusion élémentaire,node:115602,Infusion élémentaire,1,RAW_NODE_ONLY,115602,1,1,3 SkillPoint,SkillPoint,[3],CONFIRMÉ PAR LES GAMEDATA,,"115402,115501",NODE,4,6,4,"[0,0,0]",TriggeredBuff,"[93300012,93300013,93300015]","[93300012,93300013,93300015]",NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,94300002,,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Magicien élémentaire,Glace,Anneau gelé,node:115701,Anneau gelé,1,RAW_NODE_ONLY,115701,1,1,5 SkillPoint,SkillPoint,[5],CONFIRMÉ PAR LES GAMEDATA,,115501,NODE,4,7,3,"[0,0,0]",TriggeredBuff,[90000081],[90000081],NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,90000066,,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Magicien élémentaire,Glace,Harmonie de givrefeu,node:115802,Harmonie de givrefeu,1,RAW_NODE_ONLY,115802,1,1,4 SkillPoint,SkillPoint,[4],CONFIRMÉ PAR LES GAMEDATA,,115602,NODE,5,8,4,"[0,0,0]",TriggeredBuff,"[91000091,91000093,91000095]","[91000091,91000093,91000095]",NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,91000090,,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Magicien élémentaire,Feu,Dague de tempête de feu,node:116101,Dague de tempête de feu,1,RAW_NODE_ONLY,116101,1,1,2 SkillPoint,SkillPoint,[2],CONFIRMÉ PAR LES GAMEDATA,,,NODE,0,1,3,"[0,0,0]",ActiveSkillReference,1001104101000,1001104101000,NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,,1001104101000,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Magicien élémentaire,Feu,Coup bonus,node:116201,Coup bonus,1,RAW_NODE_ONLY,116201,1,1,4 SkillPoint,SkillPoint,[4],CONFIRMÉ PAR LES GAMEDATA,,116101,NODE,1,2,3,"[0,0,0]",TriggeredBuff,[93300018],[93300018],NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,94300003,,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Magicien élémentaire,Feu,Feu sauvage,node:116301,Feu sauvage,1,RAW_NODE_ONLY,116301,1,1,2 SkillPoint,SkillPoint,[2],CONFIRMÉ PAR LES GAMEDATA,,116201,NODE,2,3,3,"[0,0,0]",ActiveSkillReference,1001202400000,1001202400000,NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,,1001202400000,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Magicien élémentaire,Feu,Pénétration de défense augmentée,node:116401,Pénétration de défense augmentée,1,RAW_NODE_ONLY,116401,1,1,3 SkillPoint,SkillPoint,[3],CONFIRMÉ PAR LES GAMEDATA,,116301,NODE,3,4,2,"[0,0,0]",ArmPen,80,80,NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,90000074,,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Magicien élémentaire,Feu,Amélioration de Magicien élémentaire : Feu I,node:116402,Amélioration de Magicien élémentaire : Feu I,1,RAW_NODE_ONLY,116402,1,1,4 SkillPoint,SkillPoint,[4],CONFIRMÉ PAR LES GAMEDATA,,116301,NODE,3,4,4,"[0,0,0]",TriggeredBuff,[93300020],[93300020],NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,94300004,,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Magicien élémentaire,Feu,Armure en fusion,node:116501,Armure en fusion,1,RAW_NODE_ONLY,116501,1,1,4 SkillPoint,SkillPoint,[4],CONFIRMÉ PAR LES GAMEDATA,,116301,NODE,3,5,3,"[0,0,0]",TriggeredBuff,[90000085],[90000085],NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,90000076,,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Magicien élémentaire,Feu,Boost élémentaire,node:116601,Boost élémentaire,1,RAW_NODE_ONLY,116601,1,1,5 SkillPoint,SkillPoint,[5],CONFIRMÉ PAR LES GAMEDATA,,"116401,116501",NODE,4,6,2,"[0,0,0]",TriggeredBuff,"[93300022,93300023]","[93300022,93300023]",NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,94300005,,CONFIRMÉ PAR LES GAMEDATA
